                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
        345        13203           90         324          291.87
        346         1163           87         324          301.93
        347          838           92         323          285.52
        348         1178           88         324          298.50
        349         4205           94         324          279.45
        350         7144           89         324          295.15
        351         8419           88         324          298.50
        352         1120           90         324          291.87
        353          727           91         323          288.66
        354         5350           93         324          282.45
        355         4387           88         324          298.50
        356          705           90         324          291.87
        357          357           94         323          279.45
        358         2881           88         324          298.50
        359         6440           94         324          279.45
        360         1255           88         324          298.50
        361         1351           93         324          282.45
        362         6495           93         322          282.45
        363        12810           93         323          282.45
        364         2490           89         324          295.15
        365          365           96         324          273.62
        366        14242           88         324          298.50
        367          985           95         324          276.51
        368         1079           92         322          285.52
        369        10783           96         323          273.62
        370         9640           89         324          295.15
        371         1263           92         324          285.52
        372        13539           88         324          298.50
        373         7398           88         324          298.50
        374         1204           90         324          291.87
        375        14029           89         324          295.15
        376        13567           91         324          288.66
        377         1421           96         324          273.62
        378        14290           96         324          273.62
        379         1333           88         324          298.50
        380          972           90         324          291.87
        381         1047           92         324          285.52
        382          907           88         324          298.50
        383          728           93         324          282.45
        384         4698           92         324          285.52
        385        11408           94         324          279.45
        386        14006           88         324          298.50
        387          867           89         324          295.15
        388        10810           93         324          282.45
        389         1165           90         324          291.87
        390         1265           88         324          298.50
        391        13827           91         324          288.66
        392        12913           95         320          276.51
        393        12081           92         324          285.52
        394         1233           90         324          291.87
        395          893           87         324          301.93
        396         3166           88         324          298.50
        397        11693           90         324          291.87
        398          713           89         324          295.15
        399         6156           89         324          295.15
        400          400           95         321          276.51
        401        10109           92         324          285.52
        402         2205           90         324          291.87
        403         6910           90         324          291.87
        404          930           95         323          276.51
        405        10291           89         324          295.15
        406         1121           94         322          279.45
        407          741           87         324          301.93
        408         1323           93         323          282.45
        409        13977           94         324          279.45
        410         2150           87         324          301.93
        411          411           96         323          273.62
        412        12942           90         324          291.87
        413        13853           87         324          301.93
        414         1150           87         324          301.93
        415          874           89         324          295.15
        416         5762           90         324          291.87
        417        10364           90         324          291.87
        418         1187           90         324          291.87
        419          905           93         321          282.45
        420          420           95         323          276.51
        421        10181           91         324          288.66
        422         3347           88         324          298.50
        423          423           94         320          279.45
        424          988           88         324          298.50
        425         8910           93         324          282.45
        426         8392           92         324          285.52
        427         1336           89         324          295.15
        428          917           95         324          276.51
        429        13644           89         324          295.15
        430        10964           92         324          285.52
        431          641           93         324          282.45
        432         4727           90         324          291.87
        433         9121           90         324          291.87
        434         9483           89         324          295.15
        435        13592           87         324          301.93
        436          436           92         323          285.52
        437         9743           91         324          288.66
        438         1026           88         324          298.50
        439         7665           94         324          279.45
        440          788           94         324          279.45
        441         8132           89         324          295.15
        442         7221           89         324          295.15
        443        12136           93         323          282.45
        444         5375           95         324          276.51
        445        11509           88         324          298.50
        446         6414           88         324          298.50
        447          447           93         323          282.45
        448        12655           94         324          279.45
        449        12679           90         324          291.87
        450         1352           93         324          282.45
        451         1029           89         324          295.15
        452        10080           93         324          282.45
        453          562           91         324          288.66
        454         1382           88         324          298.50
        455          682           88         324          298.50
        456         1321           91         324          288.66
        457          814           96         323          273.62
        458        12995           91         324          288.66
        459        12163           92         324          285.52
        460        13722           93         324          282.45
        461        13740           95         324          276.51
        462         6335           91         324          288.66
        463         9043           90         324          291.87
        464         2931           94         323          279.45
        465         3790           91         324          288.66
        466        10940           93         324          282.45
        467          467           95         323          276.51
        468         7508           93         324          282.45
        469         8808           94         323          279.45
        470         4363           94         324          279.45
        471        13356           93         324          282.45
        472        10392           87         324          301.93
        473        10859           90         324          291.87
        474          822           96         323          273.62
        475         3893           88         324          298.50
        476        12029           93         324          282.45
        477          477           94         324          279.45
        478        11591           87         324          301.93
        479         6573           95         324          276.51
        480        13435           91         324          288.66
        481          481           92         323          285.52
